day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
130,48,6,,,,,,,,,157.0,,,,,,,,,,
131,48,6,,,,,,,,,157.0,,,,,,,,,,
132,47,6,,,,,,,,,160.0,,,,,,,,,,
133,48,6,,,,,,,,,162.0,,,,,,,,,,
134,47,6,,,,,,,,,164.0,,,,,,,,,,
135,47,6,,,,,,,,,165.0,,,,,,,,,,
136,48,6,,,,,,,,,165.0,,,,,,,,,,
137,48,6,,,,,,,,,165.0,,,,,,,,,,
138,48,6,,,,,,,,,166.0,,,,,,,,,,
139,48,6,,,,,,,,,166.0,,,,,,,,,,
140,50,6,,,,,,,,,168.0,,,,,,,,,,
141,50,6,,,,,,,,,168.0,,,,,,,,,,
142,50,6,,,,,,,,,169.0,,,,,,,,,,
143,50,6,,,,,,,,,169.0,,,,,,,,,,
144,50,6,,,,,,,,,171.0,,,,,,,,,,
145,50,6,,,,,,,,,171.0,,,,,,,,,,
146,51,6,,,,,,,,,172.0,,,,,,,,,,
147,52,6,,,,,,,,,173.0,,,,,,,,,,
148,48,4,,,,,,,,,183.0,,,,,,,,,,
149,48,4,,,,,,,,,182.0,,,,,,,,,,
150,48,4,,,,,,,,,182.0,,,,,,,,,,
151,49,4,,,,,,,,,182.0,,,,,,,,,,
152,48,4,,,,,,,,,,185.0,,,,,,,,,
153,51,4,,,,,,,,,,186.0,,,,,,,,,
154,51,4,,,,,,,,,,189.0,,,,,,,,,
155,50,4,,,,,,,,,,191.0,,,,,,,,,
156,50,4,,,,,,,,,,193.0,,,,,,,,,
157,50,4,,,,,,,,,,194.0,,,,,,,,,
158,50,4,,,,,,,,,,194.0,,,,,,,,,
159,50,4,,,,,,,,,,194.0,,,,,,,,,
160,52,4,,,,,,,,,,196.0,,,,,,,,,
161,52,4,,,,,,,,,,196.0,,,,,,,,,
162,52,4,,,,,,,,,,196.0,,,,,,,,,
163,52,4,,,,,,,,,,196.0,,,,,,,,,
164,53,4,,,,,,,,,,196.0,,,,,,,,,
165,56,4,,,,,,,,,,196.0,,,,,,,,,
166,55,4,,,,,,,,,,200.0,,,,,,,,,
167,55,4,,,,,,,,,,200.0,,,,,,,,,
168,55,4,,,,,,,,,,202.0,,,,,,,,,
169,56,4,,,,,,,,,,202.0,,,,,,,,,
170,57,4,,,,,,,,,,202.0,,,,,,,,,
171,55,4,,,,,,,,,,205.0,,,,,,,,,
172,52,4,,,,,,,,,,213.0,,,,,,,,,
173,52,4,,,,,,,,,,213.0,,,,,,,,,
174,53,4,,,,,,,,,,214.0,,,,,,,,,
175,54,4,,,,,,,,,,215.0,,,,,,,,,
176,56,4,,,,,,,,,,218.0,,,,,,,,,
177,56,4,,,,,,,,,,219.0,,,,,,,,,
178,59,4,,,,,,,,,,219.0,,,,,,,,,
179,60,4,,,,,,,,,,219.0,,,,,,,,,
180,61,4,,,,,,,,,,227.0,,,,,,,,,
181,65,4,,,,,,,,,,227.0,,,,,,,,,
182,65,4,,,,,,,,,,227.0,,,,,,,,,
183,64,4,,,,,,,,,,232.0,,,,,,,,,
184,64,4,,,,,,,,,,233.0,,,,,,,,,
185,65,4,,,,,,,,,,233.0,,,,,,,,,
186,66,4,,,,,,,,,,233.0,,,,,,,,,
187,66,4,,,,,,,,,,234.0,,,,,,,,,
188,65,4,,,,,,,,,,236.0,,,,,,,,,
189,66,4,,,,,,,,,,236.0,,,,,,,,,
190,67,4,,,,,,,,,235.0,,,,,,,,,,
191,67,4,,,,,,,,,235.0,,,,,,,,,,
192,67,4,,,,,,,,,239.0,,,,,,,,,,
193,67,4,,,,,,,,,239.0,,,,,,,,,,
194,69,4,,,,,,,,,239.0,,,,,,,,,,
195,69,4,,,,,,,,,239.0,,,,,,,,,,
196,69,4,,,,,,,,,241.0,,,,,,,,,,
197,71,4,,,,,,,,,241.0,,,,,,,,,,
198,71,4,,,,,,,,,244.0,,,,,,,,,,
199,71,4,,,,,,,,,245.0,,,,,,,,,,
200,73,4,,,,,,,,,249.0,,,,,,,,,,
201,75,4,,,,,,,,,249.0,,,,,,,,,,
202,76,6,,,,,,,,,252.0,,,,,,,,,,
203,75,6,,,,,,,,,254.0,,,,,,,,,,
204,77,6,,,,,,,,,255.0,,,,,,,,,,
205,77,6,,,,,,,,,256.0,,,,,,,,,,
206,77,6,,,,,,,,,257.0,,,,,,,,,,
207,79,6,,,,,,,,,257.0,,,,,,,,,,
208,80,6,,,,,,,,,261.0,,,,,,,,,,
209,80,6,,,,,,,,,261.0,,,,,,,,,,
210,83,6,,,,,,,,,263.0,,,,,,,,,,
211,84,6,,,,,,,,,263.0,,,,,,,,,,
212,84,6,,,,,,,,,263.0,,,,,,,,,,
213,84,6,,,,,,,,,263.0,,,,,,,,,,
214,84,6,,,,,,,,,264.0,,,,,,,,,,
215,84,6,,,,,,,,,265.0,,,,,,,,,,
216,84,8,,,,,,,,,265.0,,,,,,,,,,
217,84,8,,,,,,,,,265.0,,,,,,,,,,
218,86,8,,,,,,,,,265.0,,,,,,,,,,
219,86,8,,,,,,,,,265.0,,,,,,,,,,
220,83,8,,,,,,,,,273.0,,,,,,,,,,
221,83,8,,,,,,,,,273.0,,,,,,,,,,
222,75,4,,,,,,,,,286.0,,,,,,,,,,
223,76,4,,,,,,,,,285.0,,,,,,,,,,
224,76,4,,,,,,,,,288.0,,,,,,,,,,
225,75,4,,,,,,,,,290.0,,,,,,,,,,
226,75,4,,,,,,,,,289.0,,,,,,,,,,
227,76,4,,,,,,,,,289.0,,,,,,,,,,
228,79,4,,,,,,,,,291.0,,,,,,,,,,
229,79,4,,,,,,,,,291.0,,,,,,,,,,
230,77,4,,,,,,,,,,297.0,,,,,,,,,
231,77,4,,,,,,,,,,298.0,,,,,,,,,
232,76,4,,,,,,,,,,298.0,,,,,,,,,
233,76,4,,,,,,,,,,298.0,,,,,,,,,
234,77,4,,,,,,,,,,300.0,,,,,,,,,
235,77,4,,,,,,,,,,301.0,,,,,,,,,
236,72,4,,,,,,,,,,308.0,,,,,,,,,
237,72,4,,,,,,,,,,308.0,,,,,,,,,
238,73,4,,,,,,,,,,310.0,,,,,,,,,
239,73,4,,,,,,,,,,310.0,,,,,,,,,
240,72,4,,,,,,,,,,311.0,,,,,,,,,
241,72,4,,,,,,,,,,311.0,,,,,,,,,
242,71,4,,,,,,,,,,312.0,,,,,,,,,
243,71,4,,,,,,,,,,312.0,,,,,,,,,
244,70,4,,,,,,,,,,314.0,,,,,,,,,
245,71,4,,,,,,,,,,314.0,,,,,,,,,
246,72,4,,,,,,,,,,314.0,,,,,,,,,
247,72,4,,,,,,,,,,314.0,,,,,,,,,
248,74,4,,,,,,,,,,317.0,,,,,,,,,
249,76,4,,,,,,,,,,318.0,,,,,,,,,
250,77,4,,,,,,,,,,319.0,,,,,,,,,
251,77,4,,,,,,,,,,319.0,,,,,,,,,
252,78,4,,,,,,,,,,319.0,,,,,,,,,
253,78,4,,,,,,,,,,319.0,,,,,,,,,
254,88,8,,,,,,,,,,307.0,,,,,,,,,
255,88,8,,,,,,,,,,309.0,,,,,,,,,
256,88,8,,,,,,,,,,309.0,,,,,,,,,
257,89,8,,,,,,,,,,309.0,,,,,,,,,
258,90,8,,,,,,,,,,309.0,,,,,,,,,
259,88,8,,,,,,,,,,,313.0,,,,,,,,
260,88,8,,,,,,,,,,,316.0,,,,,,,,
261,88,8,,,,,,,,,,,317.0,,,,,,,,
262,84,8,,,,,,,,,,,325.0,,,,,,,,
263,85,8,,,,,,,,,,,326.0,,,,,,,,
264,85,8,,,,,,,,,,,326.0,,,,,,,,
265,86,8,,,,,,,,,,,326.0,,,,,,,,
266,86,8,,,,,,,,,,,326.0,,,,,,,,
267,87,8,,,,,,,,,,,328.0,,,,,,,,
268,87,8,,,,,,,,,,,330.0,,,,,,,,
269,87,8,,,,,,,,,,,329.0,,,,,,,,
270,88,8,,,,,,,,,,,331.0,,,,,,,,
271,89,8,,,,,,,,,,,329.0,,,,,,,,
272,90,8,,,,,,,,,,,331.0,,,,,,,,
273,91,8,,,,,,,,,,,331.0,,,,,,,,
274,92,8,,,,,,,,,,,332.0,,,,,,,,
275,92,8,,,,,,,,,,,332.0,,,,,,,,
276,93,8,,,,,,,,,,,334.0,,,,,,,,
277,93,10,,,,,,,,,,,334.0,,,,,,,,
278,95,10,,,,,,,,,,,334.0,,,,,,,,
279,95,10,,,,,,,,,,,337.0,,,,,,,,
280,97,10,,,,,,,,,,,338.0,,,,,,,,
281,97,10,,,,,,,,,,,339.0,,,,,,,,
282,99,10,,,,,,,,,,,339.0,,,,,,,,
283,99,10,,,,,,,,,,,339.0,,,,,,,,
284,101,10,,,,,,,,,,,341.0,,,,,,,,
285,98,8,,,,,,,,,,,346.0,,,,,,,,
286,99,8,,,,,,,,,,,346.0,,,,,,,,
287,99,8,,,,,,,,,,,348.0,,,,,,,,
288,100,8,,,,,,,,,,,351.0,,,,,,,,
289,100,8,,,,,,,,,,,351.0,,,,,,,,
290,101,8,,,,,,,,,,,351.0,,,,,,,,
291,102,8,,,,,,,,,,,349.0,,,,,,,,
292,104,8,,,,,,,,,,,349.0,,,,,,,,
293,105,8,,,,,,,,,,,349.0,,,,,,,,
294,103,10,,,,,,,,,,,351.0,,,,,,,,
295,103,10,,,,,,,,,,,351.0,,,,,,,,
296,103,10,,,,,,,,,,,351.0,,,,,,,,
297,102,10,,,,,,,,,,,354.0,,,,,,,,
298,103,10,,,,,,,,,,,354.0,,,,,,,,
299,104,10,,,,,,,,,,,355.0,,,,,,,,
300,107,10,,,,,,,,,,,355.0,,,,,,,,
301,108,10,,,,,,,,,,,355.0,,,,,,,,
302,107,10,,,,,,,,,,,358.0,,,,,,,,
303,108,10,,,,,,,,,,,357.0,,,,,,,,
304,105,8,,,,,,,,,,,364.0,,,,,,,,
305,104,10,,,,,,,,,,,365.0,,,,,,,,
306,108,10,,,,,,,,,,,366.0,,,,,,,,
307,111,10,,,,,,,,,,,365.0,,,,,,,,
308,114,10,,,,,,,,,,,365.0,,,,,,,,
309,115,10,,,,,,,,,,,365.0,,,,,,,,
310,114,10,,,,,,,,,,,369.0,,,,,,,,
311,114,10,,,,,,,,,,,369.0,,,,,,,,
312,114,10,,,,,,,,,,,368.0,,,,,,,,
313,114,10,,,,,,,,,,,368.0,,,,,,,,
314,117,10,,,,,,,,,,,368.0,,,,,,,,
315,118,10,,,,,,,,,,,368.0,,,,,,,,
316,119,10,,,,,,,,,,,368.0,,,,,,,,
317,119,10,,,,,,,,,,,368.0,,,,,,,,
318,119,10,,,,,,,,,,,368.0,,,,,,,,
319,120,10,,,,,,,,,,,368.0,,,,,,,,
320,121,14,,,,,,,,,,,371.0,,,,,,,,
321,122,14,,,,,,,,,,,370.0,,,,,,,,
322,122,14,,,,,,,,,,,371.0,,,,,,,,
323,121,14,,,,,,,,,,,371.0,,,,,,,,
324,119,14,,,,,,,,,,,376.0,,,,,,,,
325,118,14,,,,,,,,,,,376.0,,,,,,,,
326,118,14,,,,,,,,,,,377.0,,,,,,,,
327,118,14,,,,,,,,,,,378.0,,,,,,,,
328,119,14,,,,,,,,,,,379.0,,,,,,,,
329,120,14,,,,,,,,,,,379.0,,,,,,,,
330,116,14,,,,,,,,,,,384.0,,,,,,,,
331,116,14,,,,,,,,,,,384.0,,,,,,,,
332,117,14,,,,,,,,,,,385.0,,,,,,,,
333,117,14,,,,,,,,,,,386.0,,,,,,,,
334,120,14,,,,,,,,,,,387.0,,,,,,,,
335,120,14,,,,,,,,,,,388.0,,,,,,,,
336,122,14,,,,,,,,,,,388.0,,,,,,,,
337,122,14,,,,,,,,,,,388.0,,,,,,,,
338,122,14,,,,,,,,,,,389.0,,,,,,,,
339,122,12,,,,,,,,,,,393.0,,,,,,,,
340,122,12,,,,,,,,,,,392.0,,,,,,,,
341,123,12,,,,,,,,,,,392.0,,,,,,,,
342,125,12,,,,,,,,,,,391.0,,,,,,,,
343,125,12,,,,,,,,,,,391.0,,,,,,,,
344,124,12,,,,,,,,,,,396.0,,,,,,,,
345,124,12,,,,,,,,,,,397.0,,,,,,,,
346,124,12,,,,,,,,,,,399.0,,,,,,,,
347,124,12,,,,,,,,,,,400.0,,,,,,,,
348,125,12,,,,,,,,,,,401.0,,,,,,,,
349,126,12,,,,,,,,,,,401.0,,,,,,,,
350,126,12,,,,,,,,,,,401.0,,,,,,,,
351,126,12,,,,,,,,,,,402.0,,,,,,,,
352,124,12,,,,,,,,,,,407.0,,,,,,,,
353,124,12,,,,,,,,,,,407.0,,,,,,,,
354,127,12,,,,,,,,,,,407.0,,,,,,,,
355,127,12,,,,,,,,,,,406.0,,,,,,,,
356,127,12,,,,,,,,,,,406.0,,,,,,,,
357,125,12,,,,,,,,,,,407.0,,,,,,,,
358,127,12,,,,,,,,,,,408.0,,,,,,,,
359,127,12,,,,,,,,,,,409.0,,,,,,,,
360,127,12,,,,,,,,,,,414.0,,,,,,,,
361,127,12,,,,,,,,,,,415.0,,,,,,,,
362,128,12,,,,,,,,,,,416.0,,,,,,,,
363,128,12,,,,,,,,,,,416.0,,,,,,,,
364,127,14,,,,,,,,,,,416.0,,,,,,,,
365,127,14,,,,,,,,,,,416.0,,,,,,,,
366,127,16,,,,,,,,,,,416.0,,,,,,,,
367,127,16,,,,,,,,,,,416.0,,,,,,,,
368,129,16,,,,,,,,,,,416.0,,,,,,,,
369,129,16,,,,,,,,,,,416.0,,,,,,,,
370,129,16,,,,,,,,,,,416.0,,,,,,,,
371,129,16,,,,,,,,,,,416.0,,,,,,,,
372,129,16,,,,,,,,,,,416.0,,,,,,,,
373,129,16,,,,,,,,,,,416.0,,,,,,,,
374,129,16,,,,,,,,,,,416.0,,,,,,,,
375,128,17,,,,,,,,,,,418.0,,,,,,,,
376,128,17,,,,,,,,,,,419.0,,,,,,,,
377,128,17,,,,,,,,,,,419.0,,,,,,,,
378,128,19,,,,,,,,,,,,416.0,,,,,,,
379,128,19,,,,,,,,,,,,416.0,,,,,,,
380,129,19,,,,,,,,,,,,417.0,,,,,,,
381,129,19,,,,,,,,,,,,417.0,,,,,,,
382,129,19,,,,,,,,,,,,417.0,,,,,,,
383,129,19,,,,,,,,,,,,417.0,,,,,,,
384,129,17,,,,,,,,,,,,419.0,,,,,,,
385,130,17,,,,,,,,,,,,419.0,,,,,,,
386,130,17,,,,,,,,,,,,419.0,,,,,,,
387,130,17,,,,,,,,,,,,420.0,,,,,,,
388,131,17,,,,,,,,,,,,421.0,,,,,,,
389,131,17,,,,,,,,,,,,421.0,,,,,,,
390,131,17,,,,,,,,,,,,421.0,,,,,,,
391,131,17,,,,,,,,,,,,421.0,,,,,,,
392,131,17,,,,,,,,,,,,424.0,,,,,,,
393,131,17,,,,,,,,,,,,424.0,,,,,,,
394,133,17,,,,,,,,,,,,424.0,,,,,,,
395,133,17,,,,,,,,,,,,425.0,,,,,,,
396,136,17,,,,,,,,,,,,422.0,,,,,,,
397,136,17,,,,,,,,,,,,422.0,,,,,,,
398,137,17,,,,,,,,,,,,421.0,,,,,,,
399,137,17,,,,,,,,,,,,420.0,,,,,,,
400,137,19,,,,,,,,,,,,420.0,,,,,,,
401,136,19,,,,,,,,,,,,420.0,,,,,,,
402,136,19,,,,,,,,,,,,420.0,,,,,,,
403,136,19,,,,,,,,,,,,419.0,,,,,,,
404,136,19,,,,,,,,,,,,422.0,,,,,,,
405,136,19,,,,,,,,,,,,422.0,,,,,,,
406,136,19,,,,,,,,,,,,422.0,,,,,,,
407,136,19,,,,,,,,,,,,422.0,,,,,,,
408,138,19,,,,,,,,,,,,424.0,,,,,,,
409,138,19,,,,,,,,,,,,424.0,,,,,,,
410,139,19,,,,,,,,,,,,425.0,,,,,,,
411,139,19,,,,,,,,,,,,425.0,,,,,,,
412,140,19,,,,,,,,,,,,426.0,,,,,,,
413,140,19,,,,,,,,,,,,426.0,,,,,,,
414,139,21,,,,,,,,,,,,426.0,,,,,,,
415,139,21,,,,,,,,,,,,426.0,,,,,,,
416,138,21,,,,,,,,,,,,430.0,,,,,,,
417,138,21,,,,,,,,,,,,430.0,,,,,,,
418,138,21,,,,,,,,,,,,430.0,,,,,,,
419,138,21,,,,,,,,,,,,430.0,,,,,,,
420,136,21,,,,,,,,,,,,438.0,,,,,,,
421,136,21,,,,,,,,,,,,438.0,,,,,,,
422,136,21,,,,,,,,,,,,438.0,,,,,,,
423,137,21,,,,,,,,,,,,438.0,,,,,,,
424,136,21,,,,,,,,,,,,440.0,,,,,,,
425,135,21,,,,,,,,,,,,440.0,,,,,,,
426,134,23,,,,,,,,,,,,440.0,,,,,,,
427,133,23,,,,,,,,,,,,440.0,,,,,,,
428,133,23,,,,,,,,,,,,440.0,,,,,,,
429,133,23,,,,,,,,,,,,440.0,,,,,,,
430,133,25,,,,,,,,,,,,440.0,,,,,,,
431,133,25,,,,,,,,,,,,440.0,,,,,,,
432,136,25,,,,,,,,,,,,440.0,,,,,,,
433,136,25,,,,,,,,,,,,440.0,,,,,,,
434,136,25,,,,,,,,,,,,440.0,,,,,,,
435,136,25,,,,,,,,,,,,440.0,,,,,,,
436,136,25,,,,,,,,,,,,440.0,,,,,,,
437,136,25,,,,,,,,,,,,440.0,,,,,,,
438,137,25,,,,,,,,,,,,440.0,,,,,,,
439,137,25,,,,,,,,,,,,440.0,,,,,,,
440,136,25,,,,,,,,,,,,446.0,,,,,,,
441,138,25,,,,,,,,,,,,446.0,,,,,,,
442,138,25,,,,,,,,,,,,446.0,,,,,,,
443,138,25,,,,,,,,,,,,446.0,,,,,,,
444,139,25,,,,,,,,,,,,446.0,,,,,,,
445,139,25,,,,,,,,,,,,446.0,,,,,,,
446,139,25,,,,,,,,,,,,445.0,,,,,,,
447,140,25,,,,,,,,,,,,443.0,,,,,,,
448,140,25,,,,,,,,,,,,443.0,,,,,,,
449,140,25,,,,,,,,,,,,443.0,,,,,,,
450,139,25,,,,,,,,,,,,447.0,,,,,,,
451,139,25,,,,,,,,,,,,447.0,,,,,,,
452,138,25,,,,,,,,,,,,449.0,,,,,,,
453,138,25,,,,,,,,,,,,449.0,,,,,,,
454,137,25,,,,,,,,,,,,449.0,,,,,,,
455,137,25,,,,,,,,,,,,449.0,,,,,,,
456,138,25,,,,,,,,,,,,452.0,,,,,,,
457,138,25,,,,,,,,,,,,452.0,,,,,,,
458,138,25,,,,,,,,,,,,453.0,,,,,,,
459,138,25,,,,,,,,,,,,453.0,,,,,,,
460,138,25,,,,,,,,,,,,456.0,,,,,,,
461,138,25,,,,,,,,,,,,456.0,,,,,,,
462,138,25,,,,,,,,,,,,458.0,,,,,,,
463,138,25,,,,,,,,,,,,458.0,,,,,,,
464,137,25,,,,,,,,,,,,461.0,,,,,,,
465,137,25,,,,,,,,,,,,462.0,,,,,,,
466,138,25,,,,,,,,,,,,463.0,,,,,,,
467,138,25,,,,,,,,,,,,463.0,,,,,,,
468,136,25,,,,,,,,,,,,465.0,,,,,,,
469,136,25,,,,,,,,,,,,466.0,,,,,,,
470,136,25,,,,,,,,,,,,464.0,,,,,,,
471,136,25,,,,,,,,,,,,464.0,,,,,,,
472,137,25,,,,,,,,,,,,466.0,,,,,,,
473,137,25,,,,,,,,,,,,466.0,,,,,,,
474,137,25,,,,,,,,,,,,467.0,,,,,,,
475,137,25,,,,,,,,,,,,467.0,,,,,,,
476,130,23,,,,,,,,,,,,478.0,,,,,,,
477,130,23,,,,,,,,,,,,480.0,,,,,,,
478,131,23,,,,,,,,,,,,481.0,,,,,,,
479,131,23,,,,,,,,,,,,481.0,,,,,,,
480,131,23,,,,,,,,,,,,481.0,,,,,,,
481,131,23,,,,,,,,,,,,481.0,,,,,,,
482,132,23,,,,,,,,,,,,481.0,,,,,,,
483,133,23,,,,,,,,,,,,481.0,,,,,,,
484,134,23,,,,,,,,,,,,481.0,,,,,,,
485,134,23,,,,,,,,,,,,481.0,,,,,,,
486,135,23,,,,,,,,,,,,481.0,,,,,,,
487,135,23,,,,,,,,,,,,481.0,,,,,,,
488,134,23,,,,,,,,,,,,486.0,,,,,,,
489,134,23,,,,,,,,,,,,485.0,,,,,,,
490,138,23,,,,,,,,,,,,486.0,,,,,,,
491,137,23,,,,,,,,,,,,486.0,,,,,,,
492,138,23,,,,,,,,,,,,486.0,,,,,,,
493,138,23,,,,,,,,,,,,486.0,,,,,,,
494,138,23,,,,,,,,,,,,486.0,,,,,,,
495,138,23,,,,,,,,,,,,486.0,,,,,,,
496,139,23,,,,,,,,,,,,488.0,,,,,,,
497,139,23,,,,,,,,,,,,488.0,,,,,,,
498,140,23,,,,,,,,,,,,490.0,,,,,,,
499,140,23,,,,,,,,,,,,490.0,,,,,,,
500,141,23,,,,,,,,,,,,490.0,,,,,,,
501,141,23,,,,,,,,,,,,490.0,,,,,,,
