day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
145,52,6,,,,,,,,182.0,,,,,,,,
146,53,6,,,,,,,,183.0,,,,,,,,
147,54,6,,,,,,,,184.0,,,,,,,,
148,52,4,,,,,,,,,192.0,,,,,,,
149,52,4,,,,,,,,,192.0,,,,,,,
150,52,4,,,,,,,,,192.0,,,,,,,
151,53,4,,,,,,,,,192.0,,,,,,,
152,53,4,,,,,,,,,194.0,,,,,,,
153,56,4,,,,,,,,,195.0,,,,,,,
154,56,4,,,,,,,,,198.0,,,,,,,
155,56,4,,,,,,,,,199.0,,,,,,,
156,56,4,,,,,,,,,201.0,,,,,,,
157,56,4,,,,,,,,,202.0,,,,,,,
158,56,4,,,,,,,,,201.0,,,,,,,
159,54,4,,,,,,,,,204.0,,,,,,,
160,55,4,,,,,,,,,206.0,,,,,,,
161,55,4,,,,,,,,,206.0,,,,,,,
162,55,4,,,,,,,,,205.0,,,,,,,
163,56,4,,,,,,,,,205.0,,,,,,,
164,56,4,,,,,,,,,205.0,,,,,,,
165,59,4,,,,,,,,,205.0,,,,,,,
166,59,4,,,,,,,,,208.0,,,,,,,
167,59,4,,,,,,,,,208.0,,,,,,,
168,59,4,,,,,,,,,210.0,,,,,,,
169,60,4,,,,,,,,,210.0,,,,,,,
170,60,4,,,,,,,,,210.0,,,,,,,
171,59,4,,,,,,,,,212.0,,,,,,,
172,57,2,,,,,,,,,221.0,,,,,,,
173,57,2,,,,,,,,,221.0,,,,,,,
174,58,2,,,,,,,,,221.0,,,,,,,
175,59,2,,,,,,,,,222.0,,,,,,,
176,61,2,,,,,,,,,225.0,,,,,,,
177,61,2,,,,,,,,,226.0,,,,,,,
178,64,2,,,,,,,,,227.0,,,,,,,
179,65,2,,,,,,,,,227.0,,,,,,,
180,64,2,,,,,,,,,237.0,,,,,,,
181,68,2,,,,,,,,,237.0,,,,,,,
182,68,2,,,,,,,,,237.0,,,,,,,
183,68,2,,,,,,,,,241.0,,,,,,,
184,67,2,,,,,,,,,243.0,,,,,,,
185,68,2,,,,,,,,,243.0,,,,,,,
186,69,2,,,,,,,,,243.0,,,,,,,
187,69,2,,,,,,,,,244.0,,,,,,,
188,69,2,,,,,,,,,245.0,,,,,,,
189,70,2,,,,,,,,,245.0,,,,,,,
190,71,2,,,,,,,,,245.0,,,,,,,
191,71,2,,,,,,,,,245.0,,,,,,,
192,72,2,,,,,,,,,248.0,,,,,,,
193,72,2,,,,,,,,,248.0,,,,,,,
194,74,2,,,,,,,,,248.0,,,,,,,
195,74,2,,,,,,,,,248.0,,,,,,,
196,74,2,,,,,,,,,250.0,,,,,,,
197,76,2,,,,,,,,,250.0,,,,,,,
198,75,2,,,,,,,,,254.0,,,,,,,
199,75,,,,,,,,,,258.0,,,,,,,
200,79,,,,,,,,,,260.0,,,,,,,
201,81,,,,,,,,,,260.0,,,,,,,
202,82,4,,,,,,,,,262.0,,,,,,,
203,80,4,,,,,,,,264.0,,,,,,,,
204,82,4,,,,,,,,265.0,,,,,,,,
205,82,4,,,,,,,,266.0,,,,,,,,
206,82,4,,,,,,,,267.0,,,,,,,,
207,84,4,,,,,,,,267.0,,,,,,,,
208,84,2,,,,,,,,275.0,,,,,,,,
209,84,2,,,,,,,,275.0,,,,,,,,
210,87,2,,,,,,,,277.0,,,,,,,,
211,88,2,,,,,,,,277.0,,,,,,,,
212,88,2,,,,,,,,277.0,,,,,,,,
213,88,2,,,,,,,,277.0,,,,,,,,
214,88,2,,,,,,,,278.0,,,,,,,,
215,87,2,,,,,,,,279.0,,,,,,,,
216,88,2,,,,,,,,280.0,,,,,,,,
217,88,2,,,,,,,,280.0,,,,,,,,
218,90,2,,,,,,,,280.0,,,,,,,,
219,90,2,,,,,,,,280.0,,,,,,,,
220,87,2,,,,,,,,288.0,,,,,,,,
221,87,2,,,,,,,,288.0,,,,,,,,
222,75,,,,,,,,,,303.0,,,,,,,
223,76,,,,,,,,,,303.0,,,,,,,
224,77,,,,,,,,,,305.0,,,,,,,
225,77,,,,,,,,,,306.0,,,,,,,
226,77,,,,,,,,,,306.0,,,,,,,
227,78,,,,,,,,,,306.0,,,,,,,
228,81,,,,,,,,,,308.0,,,,,,,
229,81,,,,,,,,,,308.0,,,,,,,
230,82,,,,,,,,,,311.0,,,,,,,
231,82,,,,,,,,,,312.0,,,,,,,
232,82,,,,,,,,,,312.0,,,,,,,
233,82,,,,,,,,,,312.0,,,,,,,
234,83,,,,,,,,,,314.0,,,,,,,
235,83,,,,,,,,,,315.0,,,,,,,
236,84,,,,,,,,,,317.0,,,,,,,
237,84,,,,,,,,,,317.0,,,,,,,
238,85,,,,,,,,,,319.0,,,,,,,
239,85,,,,,,,,,,319.0,,,,,,,
240,85,,,,,,,,,,320.0,,,,,,,
241,85,,,,,,,,,,320.0,,,,,,,
242,85,,,,,,,,,,321.0,,,,,,,
243,85,,,,,,,,,,321.0,,,,,,,
244,85,,,,,,,,,,322.0,,,,,,,
245,86,,,,,,,,,,322.0,,,,,,,
246,87,,,,,,,,,,322.0,,,,,,,
247,87,,,,,,,,,,322.0,,,,,,,
248,88,,,,,,,,,,326.0,,,,,,,
249,90,,,,,,,,,,327.0,,,,,,,
250,91,,,,,,,,,,328.0,,,,,,,
251,91,,,,,,,,,,328.0,,,,,,,
252,92,,,,,,,,,,328.0,,,,,,,
253,92,,,,,,,,,,328.0,,,,,,,
254,95,,,,,,,,,,329.0,,,,,,,
255,95,,,,,,,,,,331.0,,,,,,,
256,95,,,,,,,,,,331.0,,,,,,,
257,96,,,,,,,,,,331.0,,,,,,,
258,97,,,,,,,,,,331.0,,,,,,,
259,96,,,,,,,,,,334.0,,,,,,,
260,96,,,,,,,,,,337.0,,,,,,,
261,96,,,,,,,,,,338.0,,,,,,,
262,94,,,,,,,,,,344.0,,,,,,,
263,95,,,,,,,,,,345.0,,,,,,,
264,95,,,,,,,,,,345.0,,,,,,,
265,96,,,,,,,,,,345.0,,,,,,,
266,97,2,,,,,,,,,341.0,,,,,,,
267,98,2,,,,,,,,,343.0,,,,,,,
268,97,2,,,,,,,,,346.0,,,,,,,
269,97,2,,,,,,,,,346.0,,,,,,,
270,98,2,,,,,,,,,348.0,,,,,,,
271,98,2,,,,,,,,,348.0,,,,,,,
272,97,2,,,,,,,,,351.0,,,,,,,
273,98,2,,,,,,,,,351.0,,,,,,,
274,99,2,,,,,,,,,352.0,,,,,,,
275,99,2,,,,,,,,,352.0,,,,,,,
276,100,2,,,,,,,,,354.0,,,,,,,
277,101,2,,,,,,,,,355.0,,,,,,,
278,103,2,,,,,,,,,355.0,,,,,,,
279,103,2,,,,,,,,,358.0,,,,,,,
280,105,2,,,,,,,,,359.0,,,,,,,
281,105,2,,,,,,,,,360.0,,,,,,,
282,107,2,,,,,,,,,360.0,,,,,,,
283,107,2,,,,,,,,,360.0,,,,,,,
284,109,2,,,,,,,,,362.0,,,,,,,
285,106,2,,,,,,,,,,366.0,,,,,,
286,107,2,,,,,,,,,,366.0,,,,,,
287,107,2,,,,,,,,,,368.0,,,,,,
288,108,2,,,,,,,,,,371.0,,,,,,
289,108,2,,,,,,,,,,371.0,,,,,,
290,109,2,,,,,,,,,,370.0,,,,,,
291,109,2,,,,,,,,,,370.0,,,,,,
292,111,2,,,,,,,,,,370.0,,,,,,
293,112,2,,,,,,,,,,370.0,,,,,,
294,112,2,,,,,,,,,,372.0,,,,,,
295,112,2,,,,,,,,,,372.0,,,,,,
296,112,2,,,,,,,,,,372.0,,,,,,
297,112,2,,,,,,,,,,374.0,,,,,,
298,113,2,,,,,,,,,,374.0,,,,,,
299,114,2,,,,,,,,,,375.0,,,,,,
300,117,2,,,,,,,,,,375.0,,,,,,
301,118,2,,,,,,,,,,375.0,,,,,,
302,118,2,,,,,,,,,,377.0,,,,,,
303,119,2,,,,,,,,,,377.0,,,,,,
304,118,2,,,,,,,,,,379.0,,,,,,
305,119,2,,,,,,,,,,381.0,,,,,,
306,121,2,,,,,,,,,,383.0,,,,,,
307,124,2,,,,,,,,,,383.0,,,,,,
308,127,2,,,,,,,,,,383.0,,,,,,
309,128,2,,,,,,,,,,383.0,,,,,,
310,128,2,,,,,,,,,,386.0,,,,,,
311,128,2,,,,,,,,,,386.0,,,,,,
312,128,2,,,,,,,,,,385.0,,,,,,
313,128,2,,,,,,,,,,385.0,,,,,,
314,131,2,,,,,,,,,,385.0,,,,,,
315,132,2,,,,,,,,,,386.0,,,,,,
316,133,2,,,,,,,,,,385.0,,,,,,
317,133,2,,,,,,,,,,385.0,,,,,,
318,133,2,,,,,,,,,,385.0,,,,,,
319,134,2,,,,,,,,,,385.0,,,,,,
320,136,4,,,,,,,,,,389.0,,,,,,
321,137,4,,,,,,,,,,389.0,,,,,,
322,137,4,,,,,,,,,,390.0,,,,,,
323,137,4,,,,,,,,,,390.0,,,,,,
324,135,4,,,,,,,,,,395.0,,,,,,
325,135,4,,,,,,,,,,395.0,,,,,,
326,135,4,,,,,,,,,,396.0,,,,,,
327,135,4,,,,,,,,,,397.0,,,,,,
328,136,4,,,,,,,,,,398.0,,,,,,
329,137,4,,,,,,,,,,398.0,,,,,,
330,135,4,,,,,,,,,,401.0,,,,,,
331,135,4,,,,,,,,,,401.0,,,,,,
332,136,4,,,,,,,,,,402.0,,,,,,
333,136,4,,,,,,,,,,403.0,,,,,,
334,139,4,,,,,,,,,,404.0,,,,,,
335,139,4,,,,,,,,,,405.0,,,,,,
336,141,4,,,,,,,,,,405.0,,,,,,
337,141,4,,,,,,,,,,405.0,,,,,,
338,141,4,,,,,,,,,,406.0,,,,,,
339,138,4,,,,,,,,,,411.0,,,,,,
340,138,4,,,,,,,,,,411.0,,,,,,
341,139,4,,,,,,,,,,411.0,,,,,,
342,141,4,,,,,,,,,,411.0,,,,,,
343,141,4,,,,,,,,,,411.0,,,,,,
344,142,4,,,,,,,,,,414.0,,,,,,
345,142,4,,,,,,,,,,415.0,,,,,,
346,142,4,,,,,,,,,,417.0,,,,,,
347,142,4,,,,,,,,,,417.0,,,,,,
348,141,4,,,,,,,,,,420.0,,,,,,
349,141,4,,,,,,,,,,420.0,,,,,,
350,141,4,,,,,,,,,,420.0,,,,,,
351,141,4,,,,,,,,,,421.0,,,,,,
352,139,4,,,,,,,,,,426.0,,,,,,
353,138,4,,,,,,,,,,426.0,,,,,,
354,141,4,,,,,,,,,,426.0,,,,,,
355,141,4,,,,,,,,,,426.0,,,,,,
356,141,4,,,,,,,,,,426.0,,,,,,
357,141,4,,,,,,,,,,427.0,,,,,,
358,143,4,,,,,,,,,,428.0,,,,,,
359,143,4,,,,,,,,,,429.0,,,,,,
360,143,4,,,,,,,,,,434.0,,,,,,
361,143,4,,,,,,,,,,435.0,,,,,,
362,144,4,,,,,,,,,,436.0,,,,,,
363,144,4,,,,,,,,,,436.0,,,,,,
364,143,6,,,,,,,,,,436.0,,,,,,
365,143,6,,,,,,,,,,436.0,,,,,,
366,144,6,,,,,,,,,,437.0,,,,,,
367,144,6,,,,,,,,,,437.0,,,,,,
368,146,6,,,,,,,,,,437.0,,,,,,
369,146,6,,,,,,,,,,437.0,,,,,,
370,146,6,,,,,,,,,,437.0,,,,,,
371,146,6,,,,,,,,,,437.0,,,,,,
372,146,6,,,,,,,,,,436.0,,,,,,
373,146,6,,,,,,,,,,436.0,,,,,,
374,146,6,,,,,,,,,,436.0,,,,,,
375,143,6,,,,,,,,,,441.0,,,,,,
376,143,6,,,,,,,,,,442.0,,,,,,
377,143,6,,,,,,,,,,442.0,,,,,,
378,142,6,,,,,,,,,,444.0,,,,,,
379,141,6,,,,,,,,,,444.0,,,,,,
380,141,6,,,,,,,,,,446.0,,,,,,
381,140,6,,,,,,,,,,446.0,,,,,,
382,140,6,,,,,,,,,,446.0,,,,,,
383,140,6,,,,,,,,,,446.0,,,,,,
384,137,6,,,,,,,,,,450.0,,,,,,
385,138,6,,,,,,,,,,450.0,,,,,,
386,138,6,,,,,,,,,,449.0,,,,,,
387,138,6,,,,,,,,,,450.0,,,,,,
388,137,6,,,,,,,,,,452.0,,,,,,
389,137,6,,,,,,,,,,452.0,,,,,,
390,137,6,,,,,,,,,,452.0,,,,,,
391,137,6,,,,,,,,,,452.0,,,,,,
392,136,6,,,,,,,,,,456.0,,,,,,
393,136,6,,,,,,,,,,456.0,,,,,,
394,138,6,,,,,,,,,,456.0,,,,,,
395,138,6,,,,,,,,,,457.0,,,,,,
396,139,6,,,,,,,,,,457.0,,,,,,
397,139,6,,,,,,,,,,457.0,,,,,,
398,140,6,,,,,,,,,,457.0,,,,,,
399,140,6,,,,,,,,,,457.0,,,,,,
400,140,8,,,,,,,,,,457.0,,,,,,
401,140,8,,,,,,,,,,457.0,,,,,,
402,140,8,,,,,,,,,,457.0,,,,,,
403,139,8,,,,,,,,,,457.0,,,,,,
404,140,8,,,,,,,,,,459.0,,,,,,
405,140,8,,,,,,,,,,459.0,,,,,,
406,140,8,,,,,,,,,,459.0,,,,,,
407,140,8,,,,,,,,,,459.0,,,,,,
408,141,8,,,,,,,,,,462.0,,,,,,
409,141,8,,,,,,,,,,461.0,,,,,,
410,142,8,,,,,,,,,,462.0,,,,,,
411,142,8,,,,,,,,,,462.0,,,,,,
412,143,8,,,,,,,,,,463.0,,,,,,
413,143,8,,,,,,,,,,463.0,,,,,,
414,142,10,,,,,,,,,,463.0,,,,,,
415,142,10,,,,,,,,,,463.0,,,,,,
416,142,10,,,,,,,,,,467.0,,,,,,
417,142,10,,,,,,,,,,466.0,,,,,,
418,142,10,,,,,,,,,,466.0,,,,,,
419,142,10,,,,,,,,,,466.0,,,,,,
420,136,12,,,,,,,,,,476.0,,,,,,
421,136,12,,,,,,,,,,476.0,,,,,,
422,136,12,,,,,,,,,,476.0,,,,,,
423,137,12,,,,,,,,,,477.0,,,,,,
424,138,12,,,,,,,,,,478.0,,,,,,
425,138,12,,,,,,,,,,478.0,,,,,,
426,138,12,,,,,,,,,,479.0,,,,,,
427,138,12,,,,,,,,,,479.0,,,,,,
428,138,12,,,,,,,,,,479.0,,,,,,
429,138,12,,,,,,,,,,479.0,,,,,,
430,139,12,,,,,,,,,,480.0,,,,,,
431,139,12,,,,,,,,,,480.0,,,,,,
432,142,12,,,,,,,,,,480.0,,,,,,
433,142,12,,,,,,,,,,480.0,,,,,,
434,142,12,,,,,,,,,,479.0,,,,,,
435,142,12,,,,,,,,,,479.0,,,,,,
436,142,12,,,,,,,,,,479.0,,,,,,
437,142,12,,,,,,,,,,479.0,,,,,,
438,143,12,,,,,,,,,,479.0,,,,,,
439,143,12,,,,,,,,,,479.0,,,,,,
440,144,12,,,,,,,,,,483.0,,,,,,
441,146,12,,,,,,,,,,483.0,,,,,,
442,146,12,,,,,,,,,,483.0,,,,,,
443,146,12,,,,,,,,,,483.0,,,,,,
444,147,12,,,,,,,,,,483.0,,,,,,
445,147,12,,,,,,,,,,483.0,,,,,,
446,147,12,,,,,,,,,,483.0,,,,,,
447,147,12,,,,,,,,,,483.0,,,,,,
448,147,12,,,,,,,,,,483.0,,,,,,
449,147,12,,,,,,,,,,483.0,,,,,,
450,145,12,,,,,,,,,,489.0,,,,,,
451,145,12,,,,,,,,,,489.0,,,,,,
452,144,12,,,,,,,,,,492.0,,,,,,
453,144,12,,,,,,,,,,492.0,,,,,,
454,144,12,,,,,,,,,,492.0,,,,,,
455,146,12,,,,,,,,,,489.0,,,,,,
456,147,12,,,,,,,,,,492.0,,,,,,
457,146,12,,,,,,,,,,492.0,,,,,,
458,146,12,,,,,,,,,,493.0,,,,,,
459,146,12,,,,,,,,,,493.0,,,,,,
460,145,12,,,,,,,,,,497.0,,,,,,
461,145,12,,,,,,,,,,497.0,,,,,,
462,145,12,,,,,,,,,,499.0,,,,,,
463,145,12,,,,,,,,,,499.0,,,,,,
464,145,12,,,,,,,,,,501.0,,,,,,
465,145,12,,,,,,,,,,502.0,,,,,,
466,146,12,,,,,,,,,,504.0,,,,,,
467,146,12,,,,,,,,,,504.0,,,,,,
468,146,12,,,,,,,,,,505.0,,,,,,
469,146,12,,,,,,,,,,506.0,,,,,,
470,146,12,,,,,,,,,,506.0,,,,,,
471,146,12,,,,,,,,,,506.0,,,,,,
472,148,12,,,,,,,,,,508.0,,,,,,
473,148,12,,,,,,,,,,508.0,,,,,,
474,149,12,,,,,,,,,,509.0,,,,,,
475,149,12,,,,,,,,,,509.0,,,,,,
476,141,12,,,,,,,,,,,519.0,,,,,
477,141,12,,,,,,,,,,,521.0,,,,,
478,142,12,,,,,,,,,,,523.0,,,,,
479,142,12,,,,,,,,,,,523.0,,,,,
480,142,12,,,,,,,,,,,523.0,,,,,
481,142,12,,,,,,,,,,,523.0,,,,,
482,143,12,,,,,,,,,,,523.0,,,,,
483,144,12,,,,,,,,,,,523.0,,,,,
484,145,12,,,,,,,,,,,523.0,,,,,
485,145,12,,,,,,,,,,,523.0,,,,,
486,146,12,,,,,,,,,,,523.0,,,,,
487,146,12,,,,,,,,,,,523.0,,,,,
488,146,12,,,,,,,,,,,527.0,,,,,
489,146,12,,,,,,,,,,,527.0,,,,,
490,150,12,,,,,,,,,,,528.0,,,,,
491,150,12,,,,,,,,,,,528.0,,,,,
492,151,12,,,,,,,,,,,528.0,,,,,
493,151,12,,,,,,,,,,,528.0,,,,,
494,152,12,,,,,,,,,,,528.0,,,,,
495,152,12,,,,,,,,,,,528.0,,,,,
496,154,12,,,,,,,,,,,529.0,,,,,
497,154,12,,,,,,,,,,,529.0,,,,,
498,155,12,,,,,,,,,,,531.0,,,,,
499,155,12,,,,,,,,,,,530.0,,,,,
500,156,12,,,,,,,,,,,530.0,,,,,
501,155,12,,,,,,,,,,,530.0,,,,,
502,153,12,,,,,,,,,,,534.0,,,,,
503,152,12,,,,,,,,,,,534.0,,,,,
504,153,12,,,,,,,,,,,535.0,,,,,
505,155,12,,,,,,,,,,,535.0,,,,,
506,156,12,,,,,,,,,,,534.0,,,,,
507,156,12,,,,,,,,,,,534.0,,,,,
508,156,12,,,,,,,,,,,535.0,,,,,
509,156,12,,,,,,,,,,,535.0,,,,,
510,156,12,,,,,,,,,,,538.0,,,,,
511,155,12,,,,,,,,,,,540.0,,,,,
512,156,12,,,,,,,,,,,540.0,,,,,
513,158,12,,,,,,,,,,,540.0,,,,,
514,158,18,,,,,,,,,,,534.0,,,,,
515,159,18,,,,,,,,,,,534.0,,,,,
516,159,18,,,,,,,,,,,534.0,,,,,
517,159,18,,,,,,,,,,,534.0,,,,,
518,160,18,,,,,,,,,,,534.0,,,,,
519,160,18,,,,,,,,,,,534.0,,,,,
520,155,18,,,,,,,,,,,542.0,,,,,
521,155,18,,,,,,,,,,,542.0,,,,,
522,157,18,,,,,,,,,,,544.0,,,,,
523,157,18,,,,,,,,,,,544.0,,,,,
524,157,18,,,,,,,,,,,544.0,,,,,
525,158,18,,,,,,,,,,,545.0,,,,,
526,159,18,,,,,,,,,,,546.0,,,,,
527,159,18,,,,,,,,,,,546.0,,,,,
528,160,18,,,,,,,,,,,547.0,,,,,
529,160,18,,,,,,,,,,,547.0,,,,,
530,160,18,,,,,,,,,,,548.0,,,,,
531,158,18,,,,,,,,,,,552.0,,,,,
532,159,18,,,,,,,,,,,552.0,,,,,
533,159,18,,,,,,,,,,,552.0,,,,,
534,159,18,,,,,,,,,,,554.0,,,,,
535,159,18,,,,,,,,,,,554.0,,,,,
536,159,18,,,,,,,,,,,557.0,,,,,
537,159,18,,,,,,,,,,,558.0,,,,,
538,159,18,,,,,,,,,,,558.0,,,,,
539,161,18,,,,,,,,,,,555.0,,,,,
540,160,18,,,,,,,,,,,569.0,,,,,
541,160,18,,,,,,,,,,,569.0,,,,,
542,160,18,,,,,,,,,,,570.0,,,,,
543,161,18,,,,,,,,,,,570.0,,,,,
544,161,18,,,,,,,,,,,574.0,,,,,
545,161,18,,,,,,,,,,,574.0,,,,,
546,162,18,,,,,,,,,,,576.0,,,,,
547,162,18,,,,,,,,,,,576.0,,,,,
548,162,18,,,,,,,,,,,576.0,,,,,
549,162,18,,,,,,,,,,,576.0,,,,,
550,161,18,,,,,,,,,,,577.0,,,,,
551,161,18,,,,,,,,,,,577.0,,,,,
552,160,18,,,,,,,,,,,586.0,,,,,
553,160,18,,,,,,,,,,,586.0,,,,,
554,160,18,,,,,,,,,,,586.0,,,,,
555,160,18,,,,,,,,,,,586.0,,,,,
556,162,18,,,,,,,,,,,587.0,,,,,
557,162,18,,,,,,,,,,,587.0,,,,,
558,163,18,,,,,,,,,,,587.0,,,,,
559,163,18,,,,,,,,,,,587.0,,,,,
560,160,16,,,,,,,,,,,602.0,,,,,
561,160,16,,,,,,,,,,,602.0,,,,,
562,160,16,,,,,,,,,,,601.0,,,,,
563,160,16,,,,,,,,,,,601.0,,,,,
