day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
123,51,9,,,,,,,153.0,,,,,,,,,,,,,
124,49,9,,,,,,,158.0,,,,,,,,,,,,,
125,50,9,,,,,,,158.0,,,,,,,,,,,,,
126,52,9,,,,,,,160.0,,,,,,,,,,,,,
127,53,9,,,,,,,160.0,,,,,,,,,,,,,
128,51,9,,,,,,,163.0,,,,,,,,,,,,,
129,51,9,,,,,,,163.0,,,,,,,,,,,,,
130,54,9,,,,,,,163.0,,,,,,,,,,,,,
131,54,9,,,,,,,163.0,,,,,,,,,,,,,
132,54,9,,,,,,,165.0,,,,,,,,,,,,,
133,55,9,,,,,,,167.0,,,,,,,,,,,,,
134,55,9,,,,,,,168.0,,,,,,,,,,,,,
135,55,9,,,,,,,169.0,,,,,,,,,,,,,
136,56,9,,,,,,,169.0,,,,,,,,,,,,,
137,56,9,,,,,,,169.0,,,,,,,,,,,,,
138,56,9,,,,,,,170.0,,,,,,,,,,,,,
139,56,9,,,,,,,169.0,,,,,,,,,,,,,
140,56,9,,,,,,,174.0,,,,,,,,,,,,,
141,56,9,,,,,,,174.0,,,,,,,,,,,,,
142,56,9,,,,,,,175.0,,,,,,,,,,,,,
143,56,9,,,,,,,175.0,,,,,,,,,,,,,
144,57,9,,,,,,,176.0,,,,,,,,,,,,,
145,57,9,,,,,,,176.0,,,,,,,,,,,,,
146,58,9,,,,,,,177.0,,,,,,,,,,,,,
147,59,9,,,,,,,178.0,,,,,,,,,,,,,
148,55,9,,,,,,,187.0,,,,,,,,,,,,,
149,55,9,,,,,,,187.0,,,,,,,,,,,,,
150,55,9,,,,,,,187.0,,,,,,,,,,,,,
151,56,9,,,,,,,187.0,,,,,,,,,,,,,
152,56,9,,,,,,,189.0,,,,,,,,,,,,,
153,59,9,,,,,,,190.0,,,,,,,,,,,,,
154,60,9,,,,,,,192.0,,,,,,,,,,,,,
155,60,9,,,,,,,193.0,,,,,,,,,,,,,
156,60,9,,,,,,,195.0,,,,,,,,,,,,,
157,60,9,,,,,,,196.0,,,,,,,,,,,,,
158,60,9,,,,,,,195.0,,,,,,,,,,,,,
159,60,9,,,,,,,196.0,,,,,,,,,,,,,
160,62,9,,,,,,,198.0,,,,,,,,,,,,,
161,62,9,,,,,,,198.0,,,,,,,,,,,,,
162,62,9,,,,,,,198.0,,,,,,,,,,,,,
163,63,9,,,,,,,198.0,,,,,,,,,,,,,
164,64,9,,,,,,,198.0,,,,,,,,,,,,,
165,66,9,,,,,,,198.0,,,,,,,,,,,,,
166,66,9,,,,,,,201.0,,,,,,,,,,,,,
167,66,9,,,,,,,200.0,,,,,,,,,,,,,
168,66,9,,,,,,,202.0,,,,,,,,,,,,,
169,67,9,,,,,,,201.0,,,,,,,,,,,,,
170,68,9,,,,,,,201.0,,,,,,,,,,,,,
171,66,9,,,,,,,204.0,,,,,,,,,,,,,
172,64,7,,,,,,,,213.0,,,,,,,,,,,,
173,64,7,,,,,,,,213.0,,,,,,,,,,,,
174,65,7,,,,,,,,214.0,,,,,,,,,,,,
175,66,7,,,,,,,,215.0,,,,,,,,,,,,
176,67,7,,,,,,,,219.0,,,,,,,,,,,,
177,67,7,,,,,,,,220.0,,,,,,,,,,,,
178,70,7,,,,,,,,221.0,,,,,,,,,,,,
179,71,7,,,,,,,,221.0,,,,,,,,,,,,
180,72,5,,,,,,,,231.0,,,,,,,,,,,,
181,76,5,,,,,,,,231.0,,,,,,,,,,,,
182,76,5,,,,,,,,231.0,,,,,,,,,,,,
183,75,5,,,,,,,,235.0,,,,,,,,,,,,
184,75,5,,,,,,,,236.0,,,,,,,,,,,,
185,75,5,,,,,,,,236.0,,,,,,,,,,,,
186,76,5,,,,,,,,236.0,,,,,,,,,,,,
187,76,5,,,,,,,,237.0,,,,,,,,,,,,
188,76,5,,,,,,,,238.0,,,,,,,,,,,,
189,77,5,,,,,,,,238.0,,,,,,,,,,,,
190,78,5,,,,,,,,238.0,,,,,,,,,,,,
191,78,5,,,,,,,,238.0,,,,,,,,,,,,
192,76,5,,,,,,,,244.0,,,,,,,,,,,,
193,76,5,,,,,,,,244.0,,,,,,,,,,,,
194,78,5,,,,,,,,244.0,,,,,,,,,,,,
195,78,5,,,,,,,,244.0,,,,,,,,,,,,
196,78,5,,,,,,,,246.0,,,,,,,,,,,,
197,80,5,,,,,,,,245.0,,,,,,,,,,,,
198,80,5,,,,,,,,248.0,,,,,,,,,,,,
199,79,5,,,,,,,,251.0,,,,,,,,,,,,
200,83,5,,,,,,,,253.0,,,,,,,,,,,,
201,85,5,,,,,,,,253.0,,,,,,,,,,,,
202,86,9,,,,,,,,255.0,,,,,,,,,,,,
203,86,9,,,,,,,,256.0,,,,,,,,,,,,
204,88,9,,,,,,,,257.0,,,,,,,,,,,,
205,88,9,,,,,,,,258.0,,,,,,,,,,,,
206,88,9,,,,,,,,259.0,,,,,,,,,,,,
207,90,9,,,,,,,,259.0,,,,,,,,,,,,
208,89,7,,,,,,,,268.0,,,,,,,,,,,,
209,89,7,,,,,,,,268.0,,,,,,,,,,,,
210,92,7,,,,,,,,270.0,,,,,,,,,,,,
211,93,7,,,,,,,,270.0,,,,,,,,,,,,
212,93,7,,,,,,,,270.0,,,,,,,,,,,,
213,93,7,,,,,,,,270.0,,,,,,,,,,,,
214,93,7,,,,,,,,271.0,,,,,,,,,,,,
215,93,7,,,,,,,,272.0,,,,,,,,,,,,
216,94,7,,,,,,,,273.0,,,,,,,,,,,,
217,94,7,,,,,,,,273.0,,,,,,,,,,,,
218,96,7,,,,,,,,273.0,,,,,,,,,,,,
219,96,7,,,,,,,,273.0,,,,,,,,,,,,
220,91,7,,,,,,,,283.0,,,,,,,,,,,,
221,91,7,,,,,,,,283.0,,,,,,,,,,,,
222,76,,,,,,,,,,306.0,,,,,,,,,,,
223,77,,,,,,,,,,306.0,,,,,,,,,,,
224,78,,,,,,,,,,308.0,,,,,,,,,,,
225,78,,,,,,,,,,308.0,,,,,,,,,,,
226,78,,,,,,,,,,308.0,,,,,,,,,,,
227,79,,,,,,,,,,308.0,,,,,,,,,,,
228,82,,,,,,,,,,310.0,,,,,,,,,,,
229,82,,,,,,,,,,310.0,,,,,,,,,,,
230,82,2,,,,,,,,,312.0,,,,,,,,,,,
231,81,2,,,,,,,,,313.0,,,,,,,,,,,
232,81,2,,,,,,,,,313.0,,,,,,,,,,,
233,81,2,,,,,,,,,313.0,,,,,,,,,,,
234,82,2,,,,,,,,,315.0,,,,,,,,,,,
235,82,2,,,,,,,,,316.0,,,,,,,,,,,
236,81,2,,,,,,,,,320.0,,,,,,,,,,,
237,81,2,,,,,,,,,320.0,,,,,,,,,,,
238,82,2,,,,,,,,,322.0,,,,,,,,,,,
239,82,2,,,,,,,,,322.0,,,,,,,,,,,
240,82,2,,,,,,,,,323.0,,,,,,,,,,,
241,82,2,,,,,,,,,323.0,,,,,,,,,,,
242,82,2,,,,,,,,,324.0,,,,,,,,,,,
243,82,2,,,,,,,,,324.0,,,,,,,,,,,
244,82,2,,,,,,,,,325.0,,,,,,,,,,,
245,83,2,,,,,,,,,325.0,,,,,,,,,,,
246,84,2,,,,,,,,,325.0,,,,,,,,,,,
247,84,2,,,,,,,,,325.0,,,,,,,,,,,
248,86,2,,,,,,,,,328.0,,,,,,,,,,,
249,87,2,,,,,,,,,330.0,,,,,,,,,,,
250,88,2,,,,,,,,,331.0,,,,,,,,,,,
251,88,2,,,,,,,,,330.0,,,,,,,,,,,
252,89,2,,,,,,,,,330.0,,,,,,,,,,,
253,89,2,,,,,,,,,330.0,,,,,,,,,,,
254,91,4,,,,,,,,,330.0,,,,,,,,,,,
255,91,4,,,,,,,,,332.0,,,,,,,,,,,
256,91,4,,,,,,,,,332.0,,,,,,,,,,,
257,92,4,,,,,,,,,332.0,,,,,,,,,,,
258,93,4,,,,,,,,,332.0,,,,,,,,,,,
259,94,2,,,,,,,,,335.0,,,,,,,,,,,
260,94,2,,,,,,,,,338.0,,,,,,,,,,,
261,94,2,,,,,,,,,339.0,,,,,,,,,,,
262,93,2,,,,,,,,,344.0,,,,,,,,,,,
263,94,2,,,,,,,,,345.0,,,,,,,,,,,
264,94,2,,,,,,,,,345.0,,,,,,,,,,,
265,95,2,,,,,,,,,345.0,,,,,,,,,,,
266,95,2,,,,,,,,,345.0,,,,,,,,,,,
267,96,2,,,,,,,,,347.0,,,,,,,,,,,
268,96,2,,,,,,,,,349.0,,,,,,,,,,,
269,96,2,,,,,,,,,349.0,,,,,,,,,,,
270,98,2,,,,,,,,,350.0,,,,,,,,,,,
271,98,2,,,,,,,,,350.0,,,,,,,,,,,
272,99,2,,,,,,,,,352.0,,,,,,,,,,,
273,100,2,,,,,,,,,352.0,,,,,,,,,,,
274,101,2,,,,,,,,,353.0,,,,,,,,,,,
275,101,2,,,,,,,,,353.0,,,,,,,,,,,
276,102,2,,,,,,,,,355.0,,,,,,,,,,,
277,103,2,,,,,,,,,356.0,,,,,,,,,,,
278,105,2,,,,,,,,,355.0,,,,,,,,,,,
279,103,7,,,,,,,,,355.0,,,,,,,,,,,
280,103,7,,,,,,,,,357.0,,,,,,,,,,,
281,103,7,,,,,,,,,358.0,,,,,,,,,,,
282,105,7,,,,,,,,,358.0,,,,,,,,,,,
283,105,7,,,,,,,,,358.0,,,,,,,,,,,
284,106,9,,,,,,,,,359.0,,,,,,,,,,,
285,104,9,,,,,,,,,,361.0,,,,,,,,,,
286,105,9,,,,,,,,,,361.0,,,,,,,,,,
287,105,9,,,,,,,,,,363.0,,,,,,,,,,
288,106,9,,,,,,,,,,366.0,,,,,,,,,,
289,106,11,,,,,,,,,,363.0,,,,,,,,,,
290,107,11,,,,,,,,,,363.0,,,,,,,,,,
291,107,11,,,,,,,,,,363.0,,,,,,,,,,
292,109,11,,,,,,,,,,363.0,,,,,,,,,,
293,110,11,,,,,,,,,,363.0,,,,,,,,,,
294,110,11,,,,,,,,,,365.0,,,,,,,,,,
295,110,11,,,,,,,,,,365.0,,,,,,,,,,
296,110,11,,,,,,,,,,365.0,,,,,,,,,,
297,111,11,,,,,,,,,,366.0,,,,,,,,,,
298,114,11,,,,,,,,,,363.0,,,,,,,,,,
299,115,11,,,,,,,,,,364.0,,,,,,,,,,
300,118,11,,,,,,,,,,364.0,,,,,,,,,,
301,119,11,,,,,,,,,,364.0,,,,,,,,,,
302,119,11,,,,,,,,,,366.0,,,,,,,,,,
303,120,11,,,,,,,,,,366.0,,,,,,,,,,
304,119,11,,,,,,,,,,368.0,,,,,,,,,,
305,120,11,,,,,,,,,,370.0,,,,,,,,,,
306,124,11,,,,,,,,,,371.0,,,,,,,,,,
307,127,11,,,,,,,,,,371.0,,,,,,,,,,
308,130,11,,,,,,,,,,371.0,,,,,,,,,,
309,131,11,,,,,,,,,,371.0,,,,,,,,,,
310,131,11,,,,,,,,,,374.0,,,,,,,,,,
311,131,11,,,,,,,,,,374.0,,,,,,,,,,
312,131,11,,,,,,,,,,374.0,,,,,,,,,,
313,131,11,,,,,,,,,,374.0,,,,,,,,,,
314,134,11,,,,,,,,,,374.0,,,,,,,,,,
315,135,11,,,,,,,,,,375.0,,,,,,,,,,
316,136,11,,,,,,,,,,375.0,,,,,,,,,,
317,136,11,,,,,,,,,,375.0,,,,,,,,,,
318,137,11,,,,,,,,,,373.0,,,,,,,,,,
319,138,11,,,,,,,,,,373.0,,,,,,,,,,
320,138,13,,,,,,,,,,379.0,,,,,,,,,,
321,139,13,,,,,,,,,,379.0,,,,,,,,,,
322,138,13,,,,,,,,,,381.0,,,,,,,,,,
323,138,13,,,,,,,,,,381.0,,,,,,,,,,
324,136,13,,,,,,,,,,386.0,,,,,,,,,,
325,136,13,,,,,,,,,,386.0,,,,,,,,,,
326,136,13,,,,,,,,,,387.0,,,,,,,,,,
327,136,13,,,,,,,,,,388.0,,,,,,,,,,
328,137,13,,,,,,,,,,389.0,,,,,,,,,,
329,138,13,,,,,,,,,,389.0,,,,,,,,,,
330,136,13,,,,,,,,,,,392.0,,,,,,,,,
331,136,13,,,,,,,,,,,392.0,,,,,,,,,
332,137,13,,,,,,,,,,,393.0,,,,,,,,,
333,137,13,,,,,,,,,,,394.0,,,,,,,,,
334,140,13,,,,,,,,,,,395.0,,,,,,,,,
335,140,13,,,,,,,,,,,396.0,,,,,,,,,
336,142,13,,,,,,,,,,,396.0,,,,,,,,,
337,142,13,,,,,,,,,,,395.0,,,,,,,,,
338,141,13,,,,,,,,,,,397.0,,,,,,,,,
339,138,13,,,,,,,,,,,401.0,,,,,,,,,
340,138,13,,,,,,,,,,,401.0,,,,,,,,,
341,139,13,,,,,,,,,,,401.0,,,,,,,,,
342,141,13,,,,,,,,,,,401.0,,,,,,,,,
343,141,13,,,,,,,,,,,401.0,,,,,,,,,
344,141,13,,,,,,,,,,,405.0,,,,,,,,,
345,141,13,,,,,,,,,,,406.0,,,,,,,,,
346,141,13,,,,,,,,,,,408.0,,,,,,,,,
347,141,13,,,,,,,,,,,409.0,,,,,,,,,
348,140,13,,,,,,,,,,,412.0,,,,,,,,,
349,141,13,,,,,,,,,,,412.0,,,,,,,,,
350,141,13,,,,,,,,,,,412.0,,,,,,,,,
351,141,13,,,,,,,,,,,413.0,,,,,,,,,
352,142,13,,,,,,,,,,,415.0,,,,,,,,,
353,142,13,,,,,,,,,,,415.0,,,,,,,,,
354,145,13,,,,,,,,,,,415.0,,,,,,,,,
355,145,13,,,,,,,,,,,415.0,,,,,,,,,
356,145,13,,,,,,,,,,,415.0,,,,,,,,,
357,145,13,,,,,,,,,,,415.0,,,,,,,,,
358,147,13,,,,,,,,,,,416.0,,,,,,,,,
359,147,13,,,,,,,,,,,417.0,,,,,,,,,
360,148,13,,,,,,,,,,,421.0,,,,,,,,,
361,148,13,,,,,,,,,,,422.0,,,,,,,,,
362,148,15,,,,,,,,,,,422.0,,,,,,,,,
363,148,15,,,,,,,,,,,422.0,,,,,,,,,
364,147,17,,,,,,,,,,,422.0,,,,,,,,,
365,147,17,,,,,,,,,,,422.0,,,,,,,,,
366,148,17,,,,,,,,,,,423.0,,,,,,,,,
367,148,17,,,,,,,,,,,423.0,,,,,,,,,
368,150,17,,,,,,,,,,,423.0,,,,,,,,,
369,150,17,,,,,,,,,,,423.0,,,,,,,,,
370,150,17,,,,,,,,,,,423.0,,,,,,,,,
371,150,17,,,,,,,,,,,423.0,,,,,,,,,
372,150,17,,,,,,,,,,,423.0,,,,,,,,,
373,150,17,,,,,,,,,,,423.0,,,,,,,,,
374,150,17,,,,,,,,,,,423.0,,,,,,,,,
375,148,17,,,,,,,,,,,427.0,,,,,,,,,
376,148,17,,,,,,,,,,,428.0,,,,,,,,,
377,148,17,,,,,,,,,,,428.0,,,,,,,,,
378,147,17,,,,,,,,,,,430.0,,,,,,,,,
379,148,19,,,,,,,,,,,426.0,,,,,,,,,
380,149,19,,,,,,,,,,,427.0,,,,,,,,,
381,149,19,,,,,,,,,,,427.0,,,,,,,,,
382,149,19,,,,,,,,,,,427.0,,,,,,,,,
383,150,17,,,,,,,,,,,427.0,,,,,,,,,
384,149,17,,,,,,,,,,,429.0,,,,,,,,,
385,149,17,,,,,,,,,,,429.0,,,,,,,,,
386,149,17,,,,,,,,,,,429.0,,,,,,,,,
387,149,17,,,,,,,,,,,430.0,,,,,,,,,
388,150,17,,,,,,,,,,,431.0,,,,,,,,,
389,150,17,,,,,,,,,,,431.0,,,,,,,,,
390,150,17,,,,,,,,,,,431.0,,,,,,,,,
391,150,17,,,,,,,,,,,431.0,,,,,,,,,
392,150,17,,,,,,,,,,,434.0,,,,,,,,,
393,150,17,,,,,,,,,,,434.0,,,,,,,,,
394,152,17,,,,,,,,,,,434.0,,,,,,,,,
395,152,17,,,,,,,,,,,435.0,,,,,,,,,
396,153,17,,,,,,,,,,,434.0,,,,,,,,,
397,153,17,,,,,,,,,,,434.0,,,,,,,,,
398,155,15,,,,,,,,,,,434.0,,,,,,,,,
399,155,15,,,,,,,,,,,434.0,,,,,,,,,
400,156,15,,,,,,,,,,,434.0,,,,,,,,,
401,156,15,,,,,,,,,,,434.0,,,,,,,,,
402,156,15,,,,,,,,,,,434.0,,,,,,,,,
403,156,15,,,,,,,,,,,434.0,,,,,,,,,
404,155,15,,,,,,,,,,,437.0,,,,,,,,,
405,155,15,,,,,,,,,,,437.0,,,,,,,,,
406,154,15,,,,,,,,,,,437.0,,,,,,,,,
407,154,15,,,,,,,,,,,437.0,,,,,,,,,
408,153,15,,,,,,,,,,,441.0,,,,,,,,,
409,153,15,,,,,,,,,,,441.0,,,,,,,,,
410,152,17,,,,,,,,,,,441.0,,,,,,,,,
411,152,17,,,,,,,,,,,441.0,,,,,,,,,
412,153,17,,,,,,,,,,,442.0,,,,,,,,,
413,153,17,,,,,,,,,,,442.0,,,,,,,,,
414,152,19,,,,,,,,,,,442.0,,,,,,,,,
415,152,19,,,,,,,,,,,442.0,,,,,,,,,
416,151,19,,,,,,,,,,,447.0,,,,,,,,,
417,151,19,,,,,,,,,,,447.0,,,,,,,,,
418,151,19,,,,,,,,,,,447.0,,,,,,,,,
419,151,19,,,,,,,,,,,447.0,,,,,,,,,
420,146,15,,,,,,,,,,,462.0,,,,,,,,,
421,145,15,,,,,,,,,,,462.0,,,,,,,,,
422,145,15,,,,,,,,,,,462.0,,,,,,,,,
423,146,15,,,,,,,,,,,463.0,,,,,,,,,
424,144,15,,,,,,,,,,,467.0,,,,,,,,,
425,144,15,,,,,,,,,,,467.0,,,,,,,,,
426,144,15,,,,,,,,,,,468.0,,,,,,,,,
427,144,15,,,,,,,,,,,468.0,,,,,,,,,
428,144,15,,,,,,,,,,,468.0,,,,,,,,,
429,144,15,,,,,,,,,,,468.0,,,,,,,,,
430,145,15,,,,,,,,,,,469.0,,,,,,,,,
431,145,15,,,,,,,,,,,469.0,,,,,,,,,
432,148,15,,,,,,,,,,,469.0,,,,,,,,,
433,148,15,,,,,,,,,,,469.0,,,,,,,,,
434,148,15,,,,,,,,,,,469.0,,,,,,,,,
435,148,15,,,,,,,,,,,469.0,,,,,,,,,
436,148,15,,,,,,,,,,,469.0,,,,,,,,,
437,148,15,,,,,,,,,,,468.0,,,,,,,,,
438,149,15,,,,,,,,,,,468.0,,,,,,,,,
439,149,15,,,,,,,,,,,468.0,,,,,,,,,
440,151,12,,,,,,,,,,,473.0,,,,,,,,,
441,153,12,,,,,,,,,,,473.0,,,,,,,,,
442,153,12,,,,,,,,,,,473.0,,,,,,,,,
443,153,12,,,,,,,,,,,473.0,,,,,,,,,
444,154,12,,,,,,,,,,,473.0,,,,,,,,,
445,154,12,,,,,,,,,,,473.0,,,,,,,,,
446,154,12,,,,,,,,,,,473.0,,,,,,,,,
447,154,12,,,,,,,,,,,473.0,,,,,,,,,
448,154,12,,,,,,,,,,,473.0,,,,,,,,,
449,154,12,,,,,,,,,,,473.0,,,,,,,,,
450,154,12,,,,,,,,,,,477.0,,,,,,,,,
451,154,12,,,,,,,,,,,477.0,,,,,,,,,
452,154,12,,,,,,,,,,,479.0,,,,,,,,,
453,154,12,,,,,,,,,,,479.0,,,,,,,,,
454,154,12,,,,,,,,,,,479.0,,,,,,,,,
455,154,12,,,,,,,,,,,479.0,,,,,,,,,
456,155,12,,,,,,,,,,,482.0,,,,,,,,,
457,155,12,,,,,,,,,,,482.0,,,,,,,,,
458,155,12,,,,,,,,,,,483.0,,,,,,,,,
459,155,12,,,,,,,,,,,483.0,,,,,,,,,
460,154,12,,,,,,,,,,,487.0,,,,,,,,,
461,154,12,,,,,,,,,,,487.0,,,,,,,,,
462,154,12,,,,,,,,,,,489.0,,,,,,,,,
463,154,12,,,,,,,,,,,489.0,,,,,,,,,
464,153,12,,,,,,,,,,,492.0,,,,,,,,,
465,153,12,,,,,,,,,,,493.0,,,,,,,,,
466,154,12,,,,,,,,,,,495.0,,,,,,,,,
467,154,12,,,,,,,,,,,495.0,,,,,,,,,
468,151,12,,,,,,,,,,,499.0,,,,,,,,,
469,151,12,,,,,,,,,,,500.0,,,,,,,,,
470,151,12,,,,,,,,,,,500.0,,,,,,,,,
471,151,12,,,,,,,,,,,500.0,,,,,,,,,
472,154,12,,,,,,,,,,,501.0,,,,,,,,,
473,154,12,,,,,,,,,,,501.0,,,,,,,,,
474,155,12,,,,,,,,,,,502.0,,,,,,,,,
475,155,12,,,,,,,,,,,501.0,,,,,,,,,
476,147,12,,,,,,,,,,,511.0,,,,,,,,,
477,146,12,,,,,,,,,,,513.0,,,,,,,,,
478,147,12,,,,,,,,,,,515.0,,,,,,,,,
479,146,12,,,,,,,,,,,515.0,,,,,,,,,
480,146,12,,,,,,,,,,,515.0,,,,,,,,,
481,145,12,,,,,,,,,,,515.0,,,,,,,,,
