day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
131,46,14,,,,,,,165.0,,,,,,,,,,,
132,47,11,,,,,,,169.0,,,,,,,,,,,
133,48,11,,,,,,,171.0,,,,,,,,,,,
134,47,11,,,,,,,173.0,,,,,,,,,,,
135,47,11,,,,,,,174.0,,,,,,,,,,,
136,48,11,,,,,,,174.0,,,,,,,,,,,
137,48,11,,,,,,,174.0,,,,,,,,,,,
138,48,11,,,,,,,175.0,,,,,,,,,,,
139,48,11,,,,,,,175.0,,,,,,,,,,,
140,49,11,,,,,,,,179.0,,,,,,,,,,
141,49,11,,,,,,,,179.0,,,,,,,,,,
142,49,11,,,,,,,,180.0,,,,,,,,,,
143,49,11,,,,,,,,180.0,,,,,,,,,,
144,50,11,,,,,,,,181.0,,,,,,,,,,
145,50,11,,,,,,,,181.0,,,,,,,,,,
146,51,11,,,,,,,,182.0,,,,,,,,,,
147,52,11,,,,,,,,183.0,,,,,,,,,,
148,49,11,,,,,,,,191.0,,,,,,,,,,
149,49,11,,,,,,,,191.0,,,,,,,,,,
150,49,11,,,,,,,,191.0,,,,,,,,,,
151,50,11,,,,,,,,191.0,,,,,,,,,,
152,50,11,,,,,,,,193.0,,,,,,,,,,
153,53,11,,,,,,,,194.0,,,,,,,,,,
154,54,11,,,,,,,,,196.0,,,,,,,,,
155,54,11,,,,,,,,,197.0,,,,,,,,,
156,52,11,,,,,,,,,200.0,,,,,,,,,
157,52,11,,,,,,,,,201.0,,,,,,,,,
158,52,11,,,,,,,,,201.0,,,,,,,,,
159,52,11,,,,,,,,,202.0,,,,,,,,,
160,54,11,,,,,,,,,204.0,,,,,,,,,
161,54,11,,,,,,,,,204.0,,,,,,,,,
162,53,11,,,,,,,,,204.0,,,,,,,,,
163,54,11,,,,,,,,,204.0,,,,,,,,,
164,55,11,,,,,,,,,204.0,,,,,,,,,
165,58,11,,,,,,,,,204.0,,,,,,,,,
166,58,11,,,,,,,,,207.0,,,,,,,,,
167,58,11,,,,,,,,,207.0,,,,,,,,,
168,58,11,,,,,,,,,209.0,,,,,,,,,
169,59,11,,,,,,,,,209.0,,,,,,,,,
170,60,11,,,,,,,,,209.0,,,,,,,,,
171,59,11,,,,,,,,,211.0,,,,,,,,,
172,58,9,,,,,,,,,219.0,,,,,,,,,
173,58,9,,,,,,,,,218.0,,,,,,,,,
174,59,9,,,,,,,,,219.0,,,,,,,,,
175,60,9,,,,,,,,,220.0,,,,,,,,,
176,61,11,,,,,,,,,222.0,,,,,,,,,
177,61,11,,,,,,,,,223.0,,,,,,,,,
178,64,11,,,,,,,,,224.0,,,,,,,,,
179,65,11,,,,,,,,,224.0,,,,,,,,,
180,65,11,,,,,,,,,233.0,,,,,,,,,
181,69,11,,,,,,,,,233.0,,,,,,,,,
182,69,11,,,,,,,,,233.0,,,,,,,,,
183,68,11,,,,,,,,,238.0,,,,,,,,,
184,67,11,,,,,,,,,240.0,,,,,,,,,
185,68,11,,,,,,,,,240.0,,,,,,,,,
186,69,11,,,,,,,,,240.0,,,,,,,,,
187,69,11,,,,,,,,,241.0,,,,,,,,,
188,69,11,,,,,,,,,242.0,,,,,,,,,
189,71,9,,,,,,,,,242.0,,,,,,,,,
190,72,9,,,,,,,,,242.0,,,,,,,,,
191,72,9,,,,,,,,,242.0,,,,,,,,,
192,73,9,,,,,,,,,245.0,,,,,,,,,
193,73,9,,,,,,,,,245.0,,,,,,,,,
194,75,9,,,,,,,,,245.0,,,,,,,,,
195,75,9,,,,,,,,,245.0,,,,,,,,,
196,74,9,,,,,,,,,248.0,,,,,,,,,
197,77,9,,,,,,,,,246.0,,,,,,,,,
198,77,9,,,,,,,,,249.0,,,,,,,,,
199,76,6,,,,,,,,,255.0,,,,,,,,,
200,80,6,,,,,,,,,257.0,,,,,,,,,
201,82,6,,,,,,,,,256.0,,,,,,,,,
202,85,6,,,,,,,,,260.0,,,,,,,,,
203,85,6,,,,,,,,,261.0,,,,,,,,,
204,87,6,,,,,,,,,262.0,,,,,,,,,
205,87,6,,,,,,,,,,263.0,,,,,,,,
206,87,6,,,,,,,,,,263.0,,,,,,,,
207,89,6,,,,,,,,,,263.0,,,,,,,,
208,89,6,,,,,,,,,,268.0,,,,,,,,
209,89,6,,,,,,,,,,268.0,,,,,,,,
210,92,6,,,,,,,,,,270.0,,,,,,,,
211,93,6,,,,,,,,,,270.0,,,,,,,,
212,93,6,,,,,,,,,,270.0,,,,,,,,
213,93,6,,,,,,,,,,270.0,,,,,,,,
214,93,6,,,,,,,,,,271.0,,,,,,,,
215,93,6,,,,,,,,,,272.0,,,,,,,,
216,94,6,,,,,,,,,,273.0,,,,,,,,
217,94,6,,,,,,,,,,273.0,,,,,,,,
218,96,6,,,,,,,,,,273.0,,,,,,,,
219,96,6,,,,,,,,,,273.0,,,,,,,,
220,95,6,,,,,,,,,,279.0,,,,,,,,
221,95,6,,,,,,,,,,279.0,,,,,,,,
222,75,4,,,,,,,,,,,302.0,,,,,,,
223,76,4,,,,,,,,,,,302.0,,,,,,,
224,77,4,,,,,,,,,,,303.0,,,,,,,
225,76,4,,,,,,,,,,,305.0,,,,,,,
226,76,4,,,,,,,,,,,304.0,,,,,,,
227,77,4,,,,,,,,,,,304.0,,,,,,,
228,80,4,,,,,,,,,,,305.0,,,,,,,
229,80,4,,,,,,,,,,,305.0,,,,,,,
230,78,4,,,,,,,,,,,311.0,,,,,,,
231,78,4,,,,,,,,,,,312.0,,,,,,,
232,78,4,,,,,,,,,,,312.0,,,,,,,
233,78,4,,,,,,,,,,,312.0,,,,,,,
234,78,4,,,,,,,,,,,314.0,,,,,,,
235,78,4,,,,,,,,,,,315.0,,,,,,,
236,77,4,,,,,,,,,,,319.0,,,,,,,
237,77,4,,,,,,,,,,,319.0,,,,,,,
238,78,4,,,,,,,,,,,321.0,,,,,,,
239,78,4,,,,,,,,,,,321.0,,,,,,,
240,78,4,,,,,,,,,,,322.0,,,,,,,
241,78,4,,,,,,,,,,,321.0,,,,,,,
242,78,4,,,,,,,,,,,322.0,,,,,,,
243,78,4,,,,,,,,,,,322.0,,,,,,,
244,76,7,,,,,,,,,,,321.0,,,,,,,
245,77,7,,,,,,,,,,,321.0,,,,,,,
246,78,7,,,,,,,,,,,321.0,,,,,,,
247,78,7,,,,,,,,,,,321.0,,,,,,,
248,80,7,,,,,,,,,,,324.0,,,,,,,
249,82,7,,,,,,,,,,,325.0,,,,,,,
250,83,7,,,,,,,,,,,326.0,,,,,,,
251,83,7,,,,,,,,,,,326.0,,,,,,,
252,84,7,,,,,,,,,,,326.0,,,,,,,
253,84,7,,,,,,,,,,,326.0,,,,,,,
254,86,9,,,,,,,,,,,326.0,,,,,,,
255,85,9,,,,,,,,,,,329.0,,,,,,,
256,85,9,,,,,,,,,,,329.0,,,,,,,
257,86,9,,,,,,,,,,,329.0,,,,,,,
258,87,9,,,,,,,,,,,329.0,,,,,,,
259,86,7,,,,,,,,,,,334.0,,,,,,,
260,86,7,,,,,,,,,,,337.0,,,,,,,
261,86,7,,,,,,,,,,,338.0,,,,,,,
262,84,7,,,,,,,,,,,344.0,,,,,,,
263,85,7,,,,,,,,,,,345.0,,,,,,,
264,85,7,,,,,,,,,,,345.0,,,,,,,
265,86,7,,,,,,,,,,,345.0,,,,,,,
266,86,7,,,,,,,,,,,345.0,,,,,,,
267,87,7,,,,,,,,,,,347.0,,,,,,,
268,87,7,,,,,,,,,,,349.0,,,,,,,
269,87,7,,,,,,,,,,,349.0,,,,,,,
270,89,7,,,,,,,,,,,350.0,,,,,,,
271,89,7,,,,,,,,,,,350.0,,,,,,,
272,90,7,,,,,,,,,,,352.0,,,,,,,
273,91,7,,,,,,,,,,,352.0,,,,,,,
274,92,7,,,,,,,,,,,353.0,,,,,,,
275,103,11,,,,,,,,,,337.0,,,,,,,,
276,104,11,,,,,,,,,,339.0,,,,,,,,
277,105,11,,,,,,,,,,340.0,,,,,,,,
278,107,11,,,,,,,,,,340.0,,,,,,,,
279,106,11,,,,,,,,,,344.0,,,,,,,,
280,106,11,,,,,,,,,,347.0,,,,,,,,
281,106,11,,,,,,,,,,348.0,,,,,,,,
282,108,11,,,,,,,,,,348.0,,,,,,,,
283,108,11,,,,,,,,,,348.0,,,,,,,,
284,109,13,,,,,,,,,,349.0,,,,,,,,
285,107,13,,,,,,,,,,,352.0,,,,,,,
286,108,13,,,,,,,,,,,352.0,,,,,,,
287,108,13,,,,,,,,,,,354.0,,,,,,,
288,109,13,,,,,,,,,,,357.0,,,,,,,
289,108,13,,,,,,,,,,,357.0,,,,,,,
290,109,13,,,,,,,,,,,357.0,,,,,,,
291,109,13,,,,,,,,,,,357.0,,,,,,,
292,111,13,,,,,,,,,,,357.0,,,,,,,
293,112,13,,,,,,,,,,,357.0,,,,,,,
294,112,13,,,,,,,,,,,359.0,,,,,,,
295,112,13,,,,,,,,,,,359.0,,,,,,,
296,112,13,,,,,,,,,,,359.0,,,,,,,
297,113,13,,,,,,,,,,,360.0,,,,,,,
298,114,13,,,,,,,,,,,360.0,,,,,,,
299,115,13,,,,,,,,,,,361.0,,,,,,,
300,118,13,,,,,,,,,,,361.0,,,,,,,
301,119,13,,,,,,,,,,,361.0,,,,,,,
302,117,13,,,,,,,,,,,365.0,,,,,,,
303,118,13,,,,,,,,,,,365.0,,,,,,,
304,115,13,,,,,,,,,,,370.0,,,,,,,
305,116,13,,,,,,,,,,,372.0,,,,,,,
306,120,13,,,,,,,,,,,373.0,,,,,,,
307,123,13,,,,,,,,,,,373.0,,,,,,,
308,127,13,,,,,,,,,,,371.0,,,,,,,
309,128,13,,,,,,,,,,,371.0,,,,,,,
310,126,13,,,,,,,,,,,375.0,,,,,,,
311,126,13,,,,,,,,,,,375.0,,,,,,,
312,126,13,,,,,,,,,,,375.0,,,,,,,
313,126,13,,,,,,,,,,,375.0,,,,,,,
314,129,13,,,,,,,,,,,375.0,,,,,,,
315,130,13,,,,,,,,,,,376.0,,,,,,,
316,131,13,,,,,,,,,,,376.0,,,,,,,
317,131,13,,,,,,,,,,,376.0,,,,,,,
318,131,13,,,,,,,,,,,376.0,,,,,,,
319,132,13,,,,,,,,,,,376.0,,,,,,,
320,131,15,,,,,,,,,,,383.0,,,,,,,
321,132,15,,,,,,,,,,,383.0,,,,,,,
322,132,15,,,,,,,,,,,384.0,,,,,,,
323,132,15,,,,,,,,,,,384.0,,,,,,,
324,131,15,,,,,,,,,,,388.0,,,,,,,
325,131,15,,,,,,,,,,,388.0,,,,,,,
326,131,15,,,,,,,,,,,389.0,,,,,,,
327,131,15,,,,,,,,,,,390.0,,,,,,,
328,132,15,,,,,,,,,,,391.0,,,,,,,
329,133,15,,,,,,,,,,,391.0,,,,,,,
330,130,13,,,,,,,,,,,397.0,,,,,,,
331,130,13,,,,,,,,,,,397.0,,,,,,,
332,131,13,,,,,,,,,,,398.0,,,,,,,
333,131,13,,,,,,,,,,,399.0,,,,,,,
334,134,13,,,,,,,,,,,400.0,,,,,,,
335,134,13,,,,,,,,,,,401.0,,,,,,,
336,136,13,,,,,,,,,,,401.0,,,,,,,
337,136,13,,,,,,,,,,,401.0,,,,,,,
338,136,13,,,,,,,,,,,402.0,,,,,,,
339,134,13,,,,,,,,,,,406.0,,,,,,,
340,134,13,,,,,,,,,,,406.0,,,,,,,
341,135,13,,,,,,,,,,,406.0,,,,,,,
342,137,13,,,,,,,,,,,406.0,,,,,,,
343,137,13,,,,,,,,,,,406.0,,,,,,,
344,136,13,,,,,,,,,,,411.0,,,,,,,
345,136,13,,,,,,,,,,,412.0,,,,,,,
346,136,13,,,,,,,,,,,414.0,,,,,,,
347,136,13,,,,,,,,,,,415.0,,,,,,,
348,137,13,,,,,,,,,,,416.0,,,,,,,
349,138,13,,,,,,,,,,,416.0,,,,,,,
350,138,13,,,,,,,,,,,415.0,,,,,,,
351,138,13,,,,,,,,,,,416.0,,,,,,,
352,136,11,,,,,,,,,,,423.0,,,,,,,
353,136,11,,,,,,,,,,,423.0,,,,,,,
354,139,11,,,,,,,,,,,423.0,,,,,,,
355,139,11,,,,,,,,,,,423.0,,,,,,,
356,139,11,,,,,,,,,,,423.0,,,,,,,
357,139,11,,,,,,,,,,,424.0,,,,,,,
358,141,11,,,,,,,,,,,425.0,,,,,,,
359,141,11,,,,,,,,,,,426.0,,,,,,,
360,142,11,,,,,,,,,,,430.0,,,,,,,
361,142,11,,,,,,,,,,,430.0,,,,,,,
362,142,13,,,,,,,,,,,430.0,,,,,,,
363,142,13,,,,,,,,,,,430.0,,,,,,,
364,141,15,,,,,,,,,,,430.0,,,,,,,
365,141,15,,,,,,,,,,,430.0,,,,,,,
366,142,15,,,,,,,,,,,431.0,,,,,,,
367,142,15,,,,,,,,,,,431.0,,,,,,,
368,144,15,,,,,,,,,,,431.0,,,,,,,
369,144,15,,,,,,,,,,,431.0,,,,,,,
370,144,15,,,,,,,,,,,431.0,,,,,,,
371,144,15,,,,,,,,,,,431.0,,,,,,,
372,144,15,,,,,,,,,,,431.0,,,,,,,
373,144,15,,,,,,,,,,,431.0,,,,,,,
374,144,15,,,,,,,,,,,430.0,,,,,,,
375,142,15,,,,,,,,,,,434.0,,,,,,,
376,141,17,,,,,,,,,,,433.0,,,,,,,
377,141,17,,,,,,,,,,,433.0,,,,,,,
378,138,17,,,,,,,,,,,437.0,,,,,,,
379,138,17,,,,,,,,,,,437.0,,,,,,,
380,139,17,,,,,,,,,,,438.0,,,,,,,
381,139,17,,,,,,,,,,,438.0,,,,,,,
382,139,17,,,,,,,,,,,438.0,,,,,,,
383,139,17,,,,,,,,,,,438.0,,,,,,,
384,137,17,,,,,,,,,,,441.0,,,,,,,
385,138,17,,,,,,,,,,,441.0,,,,,,,
386,138,17,,,,,,,,,,,441.0,,,,,,,
387,138,17,,,,,,,,,,,442.0,,,,,,,
388,139,17,,,,,,,,,,,443.0,,,,,,,
389,139,17,,,,,,,,,,,443.0,,,,,,,
390,139,17,,,,,,,,,,,443.0,,,,,,,
391,139,17,,,,,,,,,,,443.0,,,,,,,
392,139,17,,,,,,,,,,,446.0,,,,,,,
393,139,17,,,,,,,,,,,445.0,,,,,,,
394,141,17,,,,,,,,,,,445.0,,,,,,,
395,140,19,,,,,,,,,,,445.0,,,,,,,
396,141,19,,,,,,,,,,,445.0,,,,,,,
397,141,19,,,,,,,,,,,445.0,,,,,,,
398,142,19,,,,,,,,,,,445.0,,,,,,,
399,142,19,,,,,,,,,,,445.0,,,,,,,
400,143,19,,,,,,,,,,,446.0,,,,,,,
401,143,19,,,,,,,,,,,446.0,,,,,,,
402,143,19,,,,,,,,,,,446.0,,,,,,,
403,143,19,,,,,,,,,,,446.0,,,,,,,
404,143,19,,,,,,,,,,,449.0,,,,,,,
405,143,19,,,,,,,,,,,449.0,,,,,,,
406,143,19,,,,,,,,,,,449.0,,,,,,,
407,143,19,,,,,,,,,,,449.0,,,,,,,
408,145,19,,,,,,,,,,,451.0,,,,,,,
409,145,19,,,,,,,,,,,451.0,,,,,,,
410,146,19,,,,,,,,,,,452.0,,,,,,,
411,146,19,,,,,,,,,,,452.0,,,,,,,
412,147,19,,,,,,,,,,,453.0,,,,,,,
413,147,19,,,,,,,,,,,452.0,,,,,,,
414,147,19,,,,,,,,,,,453.0,,,,,,,
415,147,19,,,,,,,,,,,453.0,,,,,,,
416,146,19,,,,,,,,,,,458.0,,,,,,,
417,146,19,,,,,,,,,,,458.0,,,,,,,
418,146,19,,,,,,,,,,,458.0,,,,,,,
419,146,19,,,,,,,,,,,458.0,,,,,,,
420,145,19,,,,,,,,,,,,465.0,,,,,,
421,145,19,,,,,,,,,,,,464.0,,,,,,
422,145,19,,,,,,,,,,,,464.0,,,,,,
423,146,19,,,,,,,,,,,,465.0,,,,,,
424,147,19,,,,,,,,,,,,466.0,,,,,,
425,147,19,,,,,,,,,,,,466.0,,,,,,
426,147,19,,,,,,,,,,,,467.0,,,,,,
427,147,19,,,,,,,,,,,,467.0,,,,,,
428,147,19,,,,,,,,,,,,467.0,,,,,,
429,147,19,,,,,,,,,,,,467.0,,,,,,
430,148,19,,,,,,,,,,,,468.0,,,,,,
431,148,19,,,,,,,,,,,,468.0,,,,,,
432,151,19,,,,,,,,,,,,468.0,,,,,,
433,151,19,,,,,,,,,,,,468.0,,,,,,
434,151,19,,,,,,,,,,,,468.0,,,,,,
435,151,19,,,,,,,,,,,,468.0,,,,,,
436,151,19,,,,,,,,,,,,468.0,,,,,,
437,151,19,,,,,,,,,,,,467.0,,,,,,
438,152,19,,,,,,,,,,,,467.0,,,,,,
439,152,19,,,,,,,,,,,,467.0,,,,,,
440,152,19,,,,,,,,,,,,472.0,,,,,,
441,154,19,,,,,,,,,,,,472.0,,,,,,
442,154,19,,,,,,,,,,,,472.0,,,,,,
443,153,19,,,,,,,,,,,,472.0,,,,,,
444,154,19,,,,,,,,,,,,472.0,,,,,,
445,154,19,,,,,,,,,,,,472.0,,,,,,
446,154,19,,,,,,,,,,,,472.0,,,,,,
447,154,19,,,,,,,,,,,,472.0,,,,,,
448,154,19,,,,,,,,,,,,472.0,,,,,,
449,154,19,,,,,,,,,,,,472.0,,,,,,
450,154,17,,,,,,,,,,,,478.0,,,,,,
451,154,17,,,,,,,,,,,,478.0,,,,,,
452,154,17,,,,,,,,,,,,479.0,,,,,,
453,154,17,,,,,,,,,,,,479.0,,,,,,
454,154,17,,,,,,,,,,,,479.0,,,,,,
455,154,17,,,,,,,,,,,,479.0,,,,,,
456,155,17,,,,,,,,,,,,482.0,,,,,,
457,155,17,,,,,,,,,,,,482.0,,,,,,
458,155,17,,,,,,,,,,,,483.0,,,,,,
459,155,17,,,,,,,,,,,,483.0,,,,,,
460,155,17,,,,,,,,,,,,486.0,,,,,,
461,155,17,,,,,,,,,,,,486.0,,,,,,
462,155,17,,,,,,,,,,,,488.0,,,,,,
463,155,17,,,,,,,,,,,,488.0,,,,,,
464,154,17,,,,,,,,,,,,491.0,,,,,,
465,154,17,,,,,,,,,,,,492.0,,,,,,
466,155,17,,,,,,,,,,,,494.0,,,,,,
467,155,17,,,,,,,,,,,,494.0,,,,,,
468,155,17,,,,,,,,,,,,495.0,,,,,,
469,155,17,,,,,,,,,,,,495.0,,,,,,
470,155,17,,,,,,,,,,,,495.0,,,,,,
471,155,17,,,,,,,,,,,,495.0,,,,,,
472,158,17,,,,,,,,,,,,496.0,,,,,,
473,158,17,,,,,,,,,,,,496.0,,,,,,
474,159,17,,,,,,,,,,,,497.0,,,,,,
475,159,17,,,,,,,,,,,,497.0,,,,,,
476,154,17,,,,,,,,,,,,504.0,,,,,,
477,154,17,,,,,,,,,,,,506.0,,,,,,
478,155,17,,,,,,,,,,,,508.0,,,,,,
479,155,17,,,,,,,,,,,,508.0,,,,,,
480,155,17,,,,,,,,,,,,508.0,,,,,,
481,155,17,,,,,,,,,,,,508.0,,,,,,
482,156,17,,,,,,,,,,,,508.0,,,,,,
483,157,17,,,,,,,,,,,,508.0,,,,,,
484,158,17,,,,,,,,,,,,508.0,,,,,,
485,158,17,,,,,,,,,,,,508.0,,,,,,
486,159,17,,,,,,,,,,,,508.0,,,,,,
487,159,17,,,,,,,,,,,,508.0,,,,,,
488,159,17,,,,,,,,,,,,512.0,,,,,,
489,159,17,,,,,,,,,,,,512.0,,,,,,
490,163,17,,,,,,,,,,,,513.0,,,,,,
491,163,17,,,,,,,,,,,,513.0,,,,,,
492,164,17,,,,,,,,,,,,513.0,,,,,,
493,165,17,,,,,,,,,,,,511.0,,,,,,
494,166,17,,,,,,,,,,,,511.0,,,,,,
495,166,17,,,,,,,,,,,,511.0,,,,,,
496,168,15,,,,,,,,,,,,514.0,,,,,,
497,168,15,,,,,,,,,,,,514.0,,,,,,
498,168,15,,,,,,,,,,,,517.0,,,,,,
499,168,15,,,,,,,,,,,,517.0,,,,,,
500,169,15,,,,,,,,,,,,516.0,,,,,,
501,169,15,,,,,,,,,,,,516.0,,,,,,
502,168,15,,,,,,,,,,,,519.0,,,,,,
503,168,15,,,,,,,,,,,,519.0,,,,,,
504,169,15,,,,,,,,,,,,520.0,,,,,,
505,171,15,,,,,,,,,,,,520.0,,,,,,
506,172,15,,,,,,,,,,,,520.0,,,,,,
507,172,15,,,,,,,,,,,,520.0,,,,,,
508,172,15,,,,,,,,,,,,521.0,,,,,,
509,172,15,,,,,,,,,,,,521.0,,,,,,
510,172,15,,,,,,,,,,,,524.0,,,,,,
511,171,15,,,,,,,,,,,,526.0,,,,,,
512,172,15,,,,,,,,,,,,526.0,,,,,,
513,174,15,,,,,,,,,,,,526.0,,,,,,
514,174,15,,,,,,,,,,,,527.0,,,,,,
515,175,15,,,,,,,,,,,,527.0,,,,,,
516,175,15,,,,,,,,,,,,527.0,,,,,,
